time,height,w,temperature,qv,vapour_pressure,cloud_mass,rain_mass,surface_rain_rate,liquid_water_path,cond_rate,n_droplets,activated_fraction,S,Sc,droplet_radius,dr_dt
2469.5,763.9432905087347,0.0,283.2199999999983,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05361606681260198,0.0022955357862602557,1e-06,0.0
2470.0,763.9432905087347,0.0,283.2204999999983,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0536477310486885,0.0022955297074238727,1e-06,0.0
2470.5,763.9432905087347,0.0,283.2209999999983,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053679394100481476,0.002295523628614319,1e-06,0.0
2471.0,763.9432905087347,0.0,283.2214999999983,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053711055968030226,0.002295517549831594,1e-06,0.0
2471.5,763.9432905087347,0.0,283.2219999999983,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053742716651383214,0.002295511471075697,1e-06,0.0
2472.0,763.9432905087347,0.0,283.22249999999826,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053774376150589394,0.0022955053923466298,1e-06,0.0
2472.5,763.9432905087347,0.0,283.22299999999825,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05380603446569722,0.0022954993136443907,1e-06,0.0
2473.0,763.9432905087347,0.0,283.22349999999824,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05383769159675566,0.0022954932349689787,1e-06,0.0
2473.5,763.9432905087347,0.0,283.2239999999982,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05386934754381314,0.002295487156320396,1e-06,0.0
2474.0,763.9432905087347,0.0,283.2244999999982,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05390100230691863,0.0022954810776986407,1e-06,0.0
2474.5,763.9432905087347,0.0,283.2249999999982,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053932655886120735,0.0022954749991037126,1e-06,0.0
2475.0,763.9432905087347,0.0,283.2254999999982,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053964308281467886,0.0022954689205356127,1e-06,0.0
2475.5,763.9432905087347,0.0,283.2259999999982,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053995959493009386,0.002295462841994339,1e-06,0.0
2476.0,763.9432905087347,0.0,283.22649999999817,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05402760952079331,0.0022954567634798934,1e-06,0.0
2476.5,763.9432905087347,0.0,283.22699999999816,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0540592583648686,0.0022954506849922752,1e-06,0.0
2477.0,763.9432905087347,0.0,283.22749999999814,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054090906025284026,0.002295444606531483,1e-06,0.0
2477.5,763.9432905087347,0.0,283.22799999999813,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05412255250208836,0.0022954385280975187,1e-06,0.0
2478.0,763.9432905087347,0.0,283.2284999999981,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05415419779533001,0.0022954324496903796,1e-06,0.0
2478.5,763.9432905087347,0.0,283.2289999999981,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05418584190505775,0.002295426371310068,1e-06,0.0
2479.0,763.9432905087347,0.0,283.2294999999981,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054217484831320495,0.0022954202929565816,1e-06,0.0
2479.5,763.9432905087347,0.0,283.2299999999981,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05424912657416666,0.0022954142146299214,1e-06,0.0
2480.0,763.9432905087347,0.0,283.2304999999981,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05428076713364483,0.0022954081363300875,1e-06,0.0
2480.5,763.9432905087347,0.0,283.23099999999806,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054312406509804095,0.002295402058057079,1e-06,0.0
2481.0,763.9432905087347,0.0,283.23149999999805,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054344044702692856,0.0022953959798108965,1e-06,0.0
2481.5,763.9432905087347,0.0,283.23199999999804,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05437568171235987,0.002295389901591539,1e-06,0.0
2482.0,763.9432905087347,0.0,283.232499999998,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05440731753885351,0.0022953838233990068,1e-06,0.0
2482.5,763.9432905087347,0.0,283.232999999998,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054438952182222874,0.0022953777452333003,1e-06,0.0
2483.0,763.9432905087347,0.0,283.233499999998,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05447058564251618,0.0022953716670944175,1e-06,0.0
2483.5,763.9432905087347,0.0,283.233999999998,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054502217919782686,0.0022953655889823604,1e-06,0.0
2484.0,763.9432905087347,0.0,283.234499999998,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05453384901407077,0.0022953595108971265,1e-06,0.0
2484.5,763.9432905087347,0.0,283.23499999999797,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05456547892542898,0.002295353432838718,1e-06,0.0
2485.0,763.9432905087347,0.0,283.23549999999796,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05459710765390588,0.002295347354807134,1e-06,0.0
2485.5,763.9432905087347,0.0,283.23599999999794,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05462873519955054,0.0022953412768023733,1e-06,0.0
2486.0,763.9432905087347,0.0,283.23649999999793,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05466036156241116,0.0022953351988244373,1e-06,0.0
2486.5,763.9432905087347,0.0,283.2369999999979,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05469198674253662,0.002295329120873324,1e-06,0.0
2487.0,763.9432905087347,0.0,283.2374999999979,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05472361073997565,0.002295323042949035,1e-06,0.0
2487.5,763.9432905087347,0.0,283.2379999999979,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05475523355477678,0.0022953169650515694,1e-06,0.0
2488.0,763.9432905087347,0.0,283.2384999999979,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05478685518698873,0.002295310887180927,1e-06,0.0
2488.5,763.9432905087347,0.0,283.2389999999979,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054818475636659675,0.0022953048093371066,1e-06,0.0
2489.0,763.9432905087347,0.0,283.23949999999786,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054850094903839026,0.00229529873152011,1e-06,0.0
2489.5,763.9432905087347,0.0,283.23999999999785,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05488171298857495,0.002295292653729936,1e-06,0.0
2490.0,763.9432905087347,0.0,283.24049999999784,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05491332989091616,0.0022952865759665844,1e-06,0.0
2490.5,763.9432905087347,0.0,283.2409999999978,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05494494561091152,0.0022952804982300555,1e-06,0.0
2491.0,763.9432905087347,0.0,283.2414999999978,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0549765601486092,0.0022952744205203494,1e-06,0.0
2491.5,763.9432905087347,0.0,283.2419999999978,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055008173504058074,0.002295268342837464,1e-06,0.0
2492.0,763.9432905087347,0.0,283.2424999999978,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055039785677307,0.0022952622651814017,1e-06,0.0
2492.5,763.9432905087347,0.0,283.2429999999978,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05507139666840414,0.00229525618755216,1e-06,0.0
2493.0,763.9432905087347,0.0,283.24349999999777,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05510300647739853,0.0022952501099497403,1e-06,0.0
2493.5,763.9432905087347,0.0,283.24399999999775,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055134615104338675,0.002295244032374143,1e-06,0.0
2494.0,763.9432905087347,0.0,283.24449999999774,0.008170000000000009,1166.8279987939775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055166222549272906,0.0022952379548253654,1e-06,0.0
