t_s,T_K,Sw,Si,e_Pa,Cl_Pa_per_s,Ci_Pa_per_s,qi_proxy
224.0,270.910000000002,-0.04929856717323824,0.0007383503439598451,492.6139295728079,0.0,0.3637216643394936,2.8251044858878572e-11
225.0,270.900000000002,-0.049298515368752176,0.0007384048749977069,492.25044944122067,0.0,0.3634801315872096,2.861452499046578e-11
226.0,270.89000000000203,-0.04929846355852997,0.0007384594120738133,491.8872107007999,0.0,0.36323874042074067,2.897776373088652e-11
227.0,270.88000000000204,-0.049298411742565273,0.000738513955194475,491.52421321002834,0.0,0.3629974907715905,2.9340761221658114e-11
228.0,270.87000000000205,-0.049298359920857134,0.0007385685043609834,491.1614568274595,0.0,0.3627563825688185,2.970351760422693e-11
229.0,270.86000000000206,-0.049298308093408696,0.0007386230595698194,490.79894141172036,0.0,0.36251541573915347,3.006603301996608e-11
230.0,270.85000000000207,-0.04929825626021721,0.0007386776208240004,490.4366668215078,0.0,0.36227459021256436,3.042830761017865e-11
231.0,270.8400000000021,-0.04929820442128074,0.0007387321881255631,490.07463291558923,0.0,0.3620339059185653,3.079034151609722e-11
232.0,270.8300000000021,-0.04929815257660144,0.0007387867614721911,489.71283955280467,0.0,0.3617933627845673,3.1152134878881787e-11
233.0,270.8200000000021,-0.049298100726170205,0.0007388413408734705,489.35128659206083,0.0,0.36155296074383614,3.151368783962562e-11
234.0,270.8100000000021,-0.04929804886999811,0.000738895926317787,488.98997389234154,0.0,0.36131269971929214,3.1875000539344914e-11
235.0,270.8000000000021,-0.0492979970080771,0.0007389505178136776,488.6289013126978,0.0,0.3610725796437464,3.223607311898866e-11
236.0,270.7900000000021,-0.04929794514040581,0.0007390051153623084,488.26806871225136,0.0,0.36083260044642884,3.259690571943509e-11
237.0,270.78000000000213,-0.04929789326698733,0.0007390597189607061,487.9074759501968,0.0,0.3605927620545799,3.295749848148967e-11
238.0,270.77000000000214,-0.049297841387817294,0.0007391143286134076,487.54712288579765,0.0,0.36035306439913484,3.3317851545888806e-11
239.0,270.76000000000215,-0.04929778950289529,0.0007391689443208168,487.1870093783886,0.0,0.36011350740903936,3.3677965053297846e-11
240.0,270.75000000000216,-0.04929773761222583,0.0007392235660781349,486.82713528737787,0.0,0.3598740910107381,3.4037839144308585e-11
241.0,270.74000000000217,-0.04929768571579808,0.0007392781938968534,486.46750047223924,0.0,0.3596348151386337,3.439747395944722e-11
242.0,270.7300000000022,-0.04929763381362038,0.0007393328277680815,486.108104792522,0.0,0.3593956797172382,3.4756869639164456e-11
243.0,270.7200000000022,-0.04929758190568679,0.0007393874676981736,485.7489481078435,0.0,0.3591566846785099,3.5116026323842965e-11
244.0,270.7100000000022,-0.04929752999199882,0.0007394421136854753,485.39003027789295,0.0,0.358917829950542,3.547494415379351e-11
245.0,270.7000000000022,-0.04929747807255459,0.0007394967657320161,485.0313511624297,0.0,0.3586791154632465,3.5833623269256755e-11
246.0,270.6900000000022,-0.04929742614735197,0.0007395514238401219,484.672910621283,0.0,0.358440541146706,3.619206381040346e-11
247.0,270.6800000000022,-0.04929737421639325,0.0007396060880071312,484.3147085143544,0.0,0.35820210692861565,3.655026591733208e-11
248.0,270.67000000000223,-0.049297322279675496,0.0007396607582364213,483.95674470161475,0.0,0.3579638127396265,3.6908229730071706e-11
249.0,270.66000000000224,-0.049297270337199516,0.0007397154345268492,483.5990190431065,0.0,0.35772565850822957,3.7265955388579934e-11
250.0,270.65000000000225,-0.04929721838896053,0.0007397701168836789,483.2415313989405,0.0,0.3574876441660422,3.762344303274598e-11
251.0,270.64000000000226,-0.04929716643496067,0.000739824805304591,482.88428162929944,0.0,0.3572497696410437,3.7980692802387024e-11
252.0,270.63000000000227,-0.049297114475200146,0.0007398794997893163,482.5272695944372,0.0,0.35701203486223676,3.833770483724926e-11
