t_s,T_K,Sw,Si,e_Pa,dqcloud_dt,dqice_dt,qcloud,qice,Ncloud,Nice,ice_active
353.0,269.6200000000032,0.00373720540919642,0.11526356156577378,472.6396401311458,0.0007474410818392841,0.0,0.20605050811083978,0.0,500003000.0,0.0,0
354.0,269.6100000000032,0.0037374835304728737,0.11526387058941423,472.2876590803584,0.0007474967060945748,0.0,0.20679800481693436,0.0,500003000.0,0.0,0
355.0,269.6000000000032,0.003737761682830465,0.11526417964758928,471.93591407627997,0.000747552336566093,0.0,0.20754555715350045,0.0,500003000.0,0.0,0
356.0,269.5900000000032,0.003738039866274745,0.11526448874030537,471.5844049790699,0.000747607973254949,0.0,0.20829316512675541,0.0,500003000.0,0.0,0
357.0,269.5800000000032,0.0037383180808110428,0.11526479786756783,471.2331316489588,0.0007476636161622086,0.0,0.20904082874291763,0.0,500003000.0,0.0,0
358.0,269.57000000000323,0.0037385963264446875,0.11526510702938308,470.88209394624823,0.0007477192652889375,0.0,0.20978854800820657,0.0,500003000.0,0.0,0
359.0,269.56000000000324,0.0037388746031783437,0.11526541622575381,470.531291731311,0.0007477749206356688,0.0,0.21053632292884222,0.0,500003000.0,0.0,0
360.0,269.55000000000325,0.0037391529110173405,0.11526572545668601,470.18072486459084,0.0007478305822034682,0.0,0.21128415351104568,0.0,500003000.0,0.0,0
361.0,269.54000000000326,0.0037394312499663407,0.11526603472218477,469.8303932066025,0.0007478862499932682,0.0,0.21203203976103896,0.0,500003000.0,0.0,0
362.0,269.53000000000327,0.0037397096200306734,0.11526634402225633,469.4802966179316,0.0007479419240061347,0.0,0.21277998168504508,0.0,500003000.0,0.0,0
363.0,269.5200000000033,0.0037399880212141134,0.11526665335690467,469.1304349592348,0.0007479976042428227,0.0,0.2135279792892879,0.0,500003000.0,0.0,0
364.0,269.5100000000033,0.0037402664535197694,0.11526696272613313,468.78080809123975,0.0007480532907039539,0.0,0.21427603257999187,0.0,500003000.0,0.0,0
365.0,269.5000000000033,0.003740544916956967,0.11526727212995214,468.43141587474463,0.0007481089833913934,0.0,0.21502414156338326,0.0,500003000.0,0.0,0
366.0,269.4900000000033,0.0037408234115261507,0.11526758156836237,468.08225817061884,0.0007481646823052302,0.0,0.2157723062456885,0.0,500003000.0,0.0,0
367.0,269.4800000000033,0.003741101937235314,0.1152678910413727,467.7333348398022,0.0007482203874470628,0.0,0.21652052663313556,0.0,500003000.0,0.0,0
368.0,269.4700000000033,0.0037413804940853446,0.11526820054898379,467.38464574330567,0.000748276098817069,0.0,0.21726880273195262,0.0,500003000.0,0.0,0
369.0,269.46000000000333,0.003741659082082238,0.11526851009120254,467.036190742211,0.0007483318164164477,0.0,0.21801713454836907,0.0,500003000.0,0.0,0
370.0,269.45000000000334,0.0037419377012331,0.1152688196680367,466.6879696976702,0.0007483875402466201,0.0,0.2187655220886157,0.0,500003000.0,0.0,0
371.0,269.44000000000335,0.0037422163515383744,0.11526912927948718,466.33998247090653,0.0007484432703076749,0.0,0.21951396535892337,0.0,500003000.0,0.0,0
372.0,269.43000000000336,0.0037424950330062767,0.1152694389255624,465.9922289232136,0.0007484990066012554,0.0,0.22026246436552463,0.0,500003000.0,0.0,0
373.0,269.42000000000337,0.0037427737456381394,0.1152697486062646,465.6447089159558,0.0007485547491276279,0.0,0.22101101911465226,0.0,500003000.0,0.0,0
374.0,269.4100000000034,0.003743052489442622,0.11527005832160286,465.2974223105679,0.0007486104978885245,0.0,0.22175962961254078,0.0,500003000.0,0.0,0
375.0,269.4000000000034,0.0037433312644234995,0.11527036807158164,464.9503689685553,0.0007486662528847,0.0,0.22250829586542548,0.0,500003000.0,0.0,0
376.0,269.3900000000034,0.003743610070582326,0.11527067785620249,464.60354875149426,0.0007487220141164652,0.0,0.22325701787954194,0.0,500003000.0,0.0,0
377.0,269.3800000000034,0.003743888907924653,0.11527098767547184,464.25696152103137,0.0007487777815849306,0.0,0.22400579566112688,0.0,500003000.0,0.0,0
378.0,269.3700000000034,0.0037441677764591397,0.11527129752939924,463.91060713888345,0.000748833555291828,0.0,0.2247546292164187,0.0,500003000.0,0.0,0
379.0,269.3600000000034,0.003744446676184454,0.1152716074179827,463.56448546683833,0.0007488893352368909,0.0,0.2255035185516556,0.0,500003000.0,0.0,0
380.0,269.35000000000343,0.0037447256071105883,0.11527191734123376,463.2185963667537,0.0007489451214221177,0.0,0.22625246367307772,0.0,500003000.0,0.0,0
381.0,269.34000000000344,0.0037450045692382083,0.11527222729915354,462.87293970055805,0.0007490009138476418,0.0,0.22700146458692536,0.0,500003000.0,0.0,0
382.0,269.33000000000345,0.0037452835625730874,0.1152725372917478,462.5275153302502,0.0007490567125146175,0.0,0.22775052129943998,0.0,500003000.0,0.0,0
383.0,269.32000000000346,0.003745562587122553,0.11527284731902498,462.182323117899,0.0007491125174245106,0.0,0.2284996338168645,0.0,500003000.0,0.0,0
384.0,269.31000000000347,0.0037458416428890473,0.11527315738098798,461.83736292564384,0.0007491683285778095,0.0,0.2292488021454423,0.0,500003000.0,0.0,0
385.0,269.3000000000035,0.0037461207298759014,0.11527346747763967,461.4926346156945,0.0007492241459751803,0.0,0.22999802629141747,0.0,500003000.0,0.0,0
386.0,269.2900000000035,0.0037463998480911087,0.11527377760899005,461.1481380503308,0.0007492799696182218,0.0,0.23074730626103568,0.0,500003000.0,0.0,0
387.0,269.2800000000035,0.0037466789975355574,0.11527408777503956,460.8038730919029,0.0007493357995071115,0.0,0.2314966420605428,0.0,500003000.0,0.0,0
388.0,269.2700000000035,0.003746958178216575,0.11527439797579597,460.45983960283127,0.0007493916356433151,0.0,0.2322460336961861,0.0,500003000.0,0.0,0
389.0,269.2600000000035,0.00374723739013727,0.11527470821126373,460.11603744560637,0.0007494474780274541,0.0,0.23299548117421356,0.0,500003000.0,0.0,0
390.0,269.2500000000035,0.0037475166333056364,0.11527501848145061,459.7724664827886,0.0007495033266611273,0.0,0.2337449845008747,0.0,500003000.0,0.0,0
391.0,269.24000000000353,0.00374779590772234,0.11527532878635816,459.42912657700896,0.0007495591815444681,0.0,0.23449454368241915,0.0,500003000.0,0.0,0
392.0,269.23000000000354,0.0037480752133911555,0.11527563912598993,459.08601759096837,0.0007496150426782311,0.0,0.23524415872509738,0.0,500003000.0,0.0,0
393.0,269.22000000000355,0.003748354550321853,0.11527594950035747,458.7431393874375,0.0007496709100643707,0.0,0.23599382963516174,0.0,500003000.0,0.0,0
394.0,269.21000000000356,0.0037486339185153206,0.11527625990946144,458.4004918292574,0.0007497267837030642,0.0,0.2367435564188648,0.0,500003000.0,0.0,0
395.0,269.20000000000357,0.003748913317978886,0.11527657035330985,458.0580747793388,0.0007497826635957772,0.0,0.23749333908246056,0.0,500003000.0,0.0,0
396.0,269.1900000000036,0.003749192748714547,0.1152768808319049,457.71588810066265,0.0007498385497429095,0.0,0.23824317763220348,0.0,500003000.0,0.0,0
397.0,269.1800000000036,0.0037494722107278555,0.11527719134525305,457.37393165627975,0.0007498944421455711,0.0,0.23899307207434906,0.0,500003000.0,0.0,0
398.0,269.1700000000036,0.003749751704023474,0.11527750189335961,457.0322053093108,0.0007499503408046949,0.0,0.23974302241515374,0.0,500003000.0,0.0,0
399.0,269.1600000000036,0.0037500312286056214,0.11527781247622859,456.69070892294644,0.0007500062457211243,0.0,0.24049302866087488,0.0,500003000.0,0.0,0
400.0,269.1500000000036,0.003750310784479405,0.11527812309386576,456.3494423604471,0.000750062156895881,0.0,0.24124309081777076,0.0,500003000.0,0.0,0
401.0,269.1400000000036,0.0037505903716514855,0.11527843374627933,456.0084054851429,0.0007501180743302972,0.0,0.24199320889210105,0.0,500003000.0,0.0,0
402.0,269.13000000000363,0.00375086999012475,0.11527874443347197,455.6675981604338,0.00075017399802495,0.0,0.242743382890126,0.0,500003000.0,0.0,0
403.0,269.12000000000364,0.003751149639902085,0.11527905515544679,455.32702024978977,0.000750229927980417,0.0,0.24349361281810641,0.0,500003000.0,0.0,0
404.0,269.11000000000365,0.003751429320992372,0.11527936591221377,454.9866716167501,0.0007502858641984744,0.0,0.2442438986823049,0.0,500003000.0,0.0,0
405.0,269.10000000000366,0.0037517090333953895,0.1152796767037727,454.6465521249242,0.000750341806679078,0.0,0.24499424048898397,0.0,500003000.0,0.0,0
406.0,269.09000000000367,0.0037519887771186866,0.11527998753013202,454.30666163799094,0.0007503977554237373,0.0,0.2457446382444077,0.0,500003000.0,0.0,0
407.0,269.0800000000037,0.0037522685521680366,0.11528029839129794,453.96700001969873,0.0007504537104336073,0.0,0.24649509195484132,0.0,500003000.0,0.0,0
408.0,269.0700000000037,0.00375254835854566,0.1152806092872729,453.62756713386574,0.000750509671709132,0.0,0.24724560162655046,0.0,500003000.0,0.0,0
409.0,269.0600000000037,0.0037528281962579957,0.11528092021806469,453.28836284437966,0.0007505656392515992,0.0,0.24799616726580206,0.0,500003000.0,0.0,0
410.0,269.0500000000037,0.003753108065308375,0.11528123118367573,452.9493870151978,0.000750621613061675,0.0,0.24874678887886373,0.0,500003000.0,0.0,0
411.0,269.0400000000037,0.0037533879657032365,0.11528154218411446,452.6106395103468,0.0007506775931406473,0.0,0.24949746647200438,0.0,500003000.0,0.0,0
412.0,269.0300000000037,0.003753667897443691,0.11528185321938178,452.27212019392323,0.0007507335794887382,0.0,0.2502482000514931,0.0,500003000.0,0.0,0
413.0,269.02000000000373,0.0037539478605401744,0.11528216428948901,451.93382893009255,0.000750789572108035,0.0,0.2509989896236012,0.0,500003000.0,0.0,0
414.0,269.01000000000374,0.0037542278549911323,0.11528247539443459,451.59576558309016,0.0007508455709982266,0.0,0.2517498351945994,0.0,500003000.0,0.0,0
415.0,269.00000000000375,0.0037545078808052246,0.11528278653422808,451.25793001722064,0.000750901576161045,0.0,0.25250073677076046,0.0,500003000.0,0.0,0
416.0,268.99000000000376,0.003754787937986892,0.11528309770887435,450.9203220968579,0.0007509575875973784,0.0,0.2532516943583578,0.0,500003000.0,0.0,0
417.0,268.98000000000377,0.003755068026537023,0.11528340891837452,450.58294168644545,0.0007510136053074046,0.0,0.2540027079636652,0.0,500003000.0,0.0,0
418.0,268.9700000000038,0.0037553481464662752,0.11528372016274013,450.2457886504958,0.0007510696292932551,0.0,0.2547537775929585,0.0,500003000.0,0.0,0
419.0,268.9600000000038,0.0037556282977757593,0.11528403144197297,449.90886285359085,0.0007511256595551519,0.0,0.2555049032525136,0.0,500003000.0,0.0,0
420.0,268.9500000000038,0.0037559084804710263,0.1152843427560788,449.5721641603819,0.0007511816960942054,0.0,0.25625608494860785,0.0,500003000.0,0.0,0
421.0,268.9400000000038,0.0037561886945545186,0.11528465410506072,449.23569243558944,0.0007512377389109038,0.0,0.25700732268751875,0.0,500003000.0,0.0,0
422.0,268.9300000000038,0.00375646894003534,0.11528496548892808,448.899447544003,0.0007512937880070681,0.0,0.25775861647552584,0.0,500003000.0,0.0,0
423.0,268.9200000000038,0.0037567492169154892,0.11528527690768375,448.56342935048144,0.0007513498433830978,0.0,0.25850996631890893,0.0,500003000.0,0.0,0
424.0,268.91000000000383,0.003757029525199407,0.11528558836133262,448.2276377199528,0.0007514059050398814,0.0,0.2592613722239488,0.0,500003000.0,0.0,0
