t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,ice_active
770.0,265.450000000007,343.7282814875314,0.0008967875296279626,0.1121075416995867,500003000.0,1.2024454152512467,9.497807447518348e-06,2.05475215520204e-05,3.6226722039518894e-09,1.976192704772723e-07,0.0017944497512025752,4.006836762045598e-11,2.0533275509081312e-06,1.1560929465370601e-12,1
771.0,265.440000000007,343.46396302644865,0.0008963837097621941,0.11210709301084698,500003000.0,1.2070176906021146,9.50142498947976e-06,2.0743129266487e-05,3.617541961411187e-09,1.956077144665986e-07,0.0017965009520030403,4.1380373060028515e-11,2.051981966320397e-06,1.170650786685989e-12,1
772.0,265.430000000007,343.1998282366382,0.0008959807695141375,0.11210664529946035,500003000.0,1.2116018049782527,9.50503741322535e-06,2.093678256191802e-05,3.61242374558944e-09,1.9365329543101894e-07,0.0017985508099132362,4.2711781366769784e-11,2.0506371635127596e-06,1.1851788388606771e-12,1
773.0,265.420000000007,342.9358770037756,0.0008955787060742626,0.11210619856230464,500003000.0,1.2161977468977119,9.508644730736943e-06,2.1128535887204185e-05,3.607317511593333e-09,1.9175332528616272e-07,0.0018005993257083212,4.406262331727669e-11,2.0492931420587535e-06,1.1996791335224092e-12,1
774.0,265.410000000007,342.67210921360714,0.0008951775166303744,0.11210575279625612,500003000.0,1.2208055045227668,9.512246953951642e-06,2.1318441177440915e-05,3.602223214698691e-09,1.899052902367321e-07,0.0018026465001630184,4.543293154105994e-11,2.047949901495667e-06,1.2141536023385192e-12,1
775.0,265.400000000007,342.4085247519448,0.0008947771984024744,0.11210530799822505,500003000.0,1.2254250656585983,9.515844094762131e-06,2.150654801393083e-05,3.597140810489689e-09,1.8810683648991265e-07,0.0018046923340516577,4.682274042535581e-11,2.0466074414045093e-06,1.2286040844160863e-12,1
776.0,265.39000000000703,342.1451235046704,0.0008943777486081217,0.11210486416512011,500003000.0,1.230056417751987,9.519436165016849e-06,2.1692903771306676e-05,3.592070254718178e-09,1.863557573758465e-07,0.001806736828148144,4.823208602590793e-11,2.0452657613309382e-06,1.243032332038088e-12,1
777.0,265.38000000000704,341.8819053577319,0.0008939791644901884,0.11210442129387799,500003000.0,1.234699547890026,9.523023176520263e-06,2.187755375302102e-05,3.5870115034141272e-09,1.846499817143465e-07,0.0018087799832259806,4.966100598323386e-11,2.043924860848941e-06,1.2574400159506772e-12,1
778.0,265.37000000000705,341.61887019714766,0.0008935814432911027,0.11210397938143446,500003000.0,1.2393544427988514,9.526605141033044e-06,2.2060541316308535e-05,3.5819645127809795e-09,1.829875632875147e-07,0.0018108218000582423,5.1109539443935056e-11,2.042584739502105e-06,1.2718287302422958e-12,1
779.0,265.36000000000706,341.3560179090006,0.0008931845822848228,0.11210353842476084,500003000.0,1.2440210888423828,9.530182070272367e-06,2.224190798760475e-05,3.576929239322743e-09,1.8136667129621373e-07,0.0018128622794176164,5.257772698665325e-11,2.041245396876922e-06,1.2861999968534172e-12,1
780.0,265.35000000000707,341.09334837944357,0.0008927885787408663,0.11210309842082311,500003000.0,1.248699472021089,9.533753975912066e-06,2.2421693569298006e-05,3.5719056396985633e-09,1.7978558169325553e-07,0.0018149014220763637,5.406561055231186e-11,2.039906832520711e-06,1.3005552697488848e-12,1
781.0,265.3400000000071,340.830861494696,0.000892393429950955,0.11210265936661212,500003000.0,1.2533895779707653,9.537320869582895e-06,2.2599936238597833e-05,3.5668936708283952e-09,1.7824266929982744e-07,0.00181693922880634,5.5573233378315383e-11,2.0385690460027253e-06,1.314895938784441e-12,1
782.0,265.3300000000071,340.56855714104563,0.0008919991332156929,0.1121022212591285,500003000.0,1.2580913919613308,9.540882762872732e-06,2.2776672639220466e-05,3.5618932898384644e-09,1.767364006226314e-07,0.0018189757003789883,5.7100639936408826e-11,2.0372320368838695e-06,1.3292233332930537e-12,1
783.0,265.3200000000071,340.3064352048477,0.0008916056858490062,0.11210178409538796,500003000.0,1.2628048988956395,9.54443966732681e-06,2.2951937966519803e-05,3.556904454077913e-09,1.7526532729933882e-07,0.0018210108375653412,5.864787587392533e-11,2.035895804727034e-06,1.3435387254159325e-12,1
784.0,265.3100000000071,340.04449557252343,0.0008912130851834732,0.11210134787242598,500003000.0,1.2675300833083156,9.547991594447949e-06,2.3125766046628152e-05,3.5519271211388765e-09,1.7382808010834786e-07,0.0018230446411360338,6.021498795817606e-11,2.0345603491094286e-06,1.3578433331997464e-12,1
785.0,265.3000000000071,339.78273813056296,0.0008908213285538924,0.11210091258728205,500003000.0,1.2722669293646005,9.551538555696738e-06,2.3298189410114396e-05,3.54696124878983e-09,1.724233634862433e-07,0.0018250771118612794,6.180202402375424e-11,2.0332256695852325e-06,1.372138323479403e-12,1
786.0,265.2900000000071,339.52116276552266,0.0008904304133157126,0.11210047823701741,500003000.0,1.2770154208592217,9.555080562491786e-06,2.346923936061731e-05,3.5420067950479746e-09,1.7104995050291458e-07,0.0018271082505108927,6.340903292254871e-11,2.031891765727861e-06,1.3864248145647212e-12,1
787.0,265.28000000000713,339.2597693640265,0.0008900403368328202,0.11210004481870306,500003000.0,1.281775541215278,9.558617626209916e-06,2.363894603886705e-05,3.5370637181294276e-09,1.6970667824974017e-07,0.0018291380578542766,6.503606447627627e-11,2.0305586371022406e-06,1.4007038787462476e-12,1
788.0,265.27000000000714,338.9985578127656,0.0008896510964817583,0.11209961232942423,500003000.0,1.2865472734831471,9.562149758186381e-06,2.3807338482468383e-05,3.532131976464959e-09,1.6839244360133334e-07,0.0018311665346604253,6.668316943135975e-11,2.0292262832746197e-06,1.4149765446352617e-12,1
789.0,265.26000000000715,338.73752799849717,0.0008892626896559452,0.11209918076628433,500003000.0,1.291330600339407,9.565676969715097e-06,2.3974444681783944e-05,3.527211528715603e-09,1.6710619931556122e-07,0.001833193681697937,6.83503994159921e-11,2.0278947038223526e-06,1.4292437993509048e-12,1
790.0,265.25000000000716,338.4766798080474,0.0008888751137492434,0.11209875012638792,500003000.0,1.2961255040857809,9.569199272048804e-06,2.414029163222428e-05,3.5223023337064073e-09,1.6584695044033473e-07,0.0018352194997349846,7.003780689924001e-11,2.026563898296591e-06,1.4435065905661229e-12,1
791.0,265.24000000000717,338.2160131283067,0.0008884883661848253,0.11209832040687218,500003000.0,1.3009319666480983,9.572716676399344e-06,2.4304905383223406e-05,3.5174043505398144e-09,1.646137509991281e-07,0.001837243989539356,7.174544515205196e-11,2.0252338662882838e-06,1.4577658284241173e-12,1
792.0,265.2300000000072,337.95552784623425,0.0008881024443823105,0.11209789160486894,500003000.0,1.3057499695752803,9.576229193937808e-06,2.4468311084153263e-05,3.51251753846432e-09,1.634057009298568e-07,0.0018392671518784218,7.34733682100466e-11,2.0239046073533962e-06,1.4720223873337593e-12,1
